Transaction[id=1, amount=100.0, date=2003-10-05T11:25:12.000015]
Transaction[id=2, amount=600.0, date=2005-08-05T11:55:12.000015]
Transaction[id=3, amount=500.0, date=2017-02-01T01:25:12.000015]
Transaction[id=4, amount=200.0, date=2019-07-06T01:35:12.000015]
Transaction[id=13, amount=320.0, date=2025-04-25T17:20:33.290675]
Transaction[id=14, amount=320.0, date=2025-04-25T17:20:34.578529]
Transaction[id=15, amount=320.0, date=2025-04-25T17:20:38.249813]
Transaction[id=16, amount=320.0, date=2025-04-25T17:20:39.423015]
Transaction[id=17, amount=260.0, date=2025-04-25T17:20:44.895713]
Transaction[id=18, amount=260.0, date=2025-04-25T17:20:46.954542]
Transaction[id=19, amount=260.0, date=2025-04-25T17:20:49.066603]
Transaction[id=20, amount=320.0, date=2025-04-25T17:21:00.905985]
Transaction[id=21, amount=260.0, date=2025-04-25T17:21:13.977619]
Transaction[id=22, amount=260.0, date=2025-04-25T17:21:15.447544]
Transaction[id=25, amount=320.0, date=2025-04-25T17:22:07.786423]
Transaction[id=26, amount=320.0, date=2025-04-25T17:22:09.001411]
