Transaction[id=1, amount=100.0, date=2003-10-05T11:25:12.000015]
Transaction[id=2, amount=600.0, date=2005-08-05T11:55:12.000015]
Transaction[id=3, amount=500.0, date=2017-02-01T01:25:12.000015]
Transaction[id=4, amount=200.0, date=2019-07-06T01:35:12.000015]
Transaction[id=13, amount=320.0, date=2025-04-25T17:16:12.849839]
Transaction[id=14, amount=320.0, date=2025-04-25T17:16:14.317562]
Transaction[id=15, amount=320.0, date=2025-04-25T17:16:16.386857]
Transaction[id=16, amount=320.0, date=2025-04-25T17:16:25.451913]
Transaction[id=17, amount=260.0, date=2025-04-25T17:16:29.377824]
Transaction[id=18, amount=260.0, date=2025-04-25T17:16:30.892408]
Transaction[id=19, amount=260.0, date=2025-04-25T17:16:32.899936]
Transaction[id=20, amount=260.0, date=2025-04-25T17:16:34.232320]
Transaction[id=22, amount=320.0, date=2025-04-25T17:16:40.179726]
Transaction[id=23, amount=320.0, date=2025-04-25T17:16:41.264664]
Transaction[id=24, amount=260.0, date=2025-04-25T17:16:43.088269]
Transaction[id=25, amount=320.0, date=2025-04-25T17:17:21.412115]
